Target,Model,MAE,RMSE,R2,Spearman,N
Points_next_week,Ridge,7.884814306676138,12.782891036705541,0.9506983486422079,0.9752584302949167,17651
Points_next_week,LightGBM,7.604115195589505,12.113959439993742,0.9557232716695632,0.9772582856004813,17651
Points_next_week,CatBoost,7.634942134676048,12.127173698520489,0.9556266223038204,0.9772066445918526,17651
Points_next_week,MLPRegressor,7.667105117403214,12.183650433932026,0.9552123627255931,0.9770897263503425,17651
Points_next_week,TCN,7.635105906577531,12.133609671223343,0.9555795113056846,0.9771396476850407,17651
Points_next_2weeks,Ridge,10.93232213436518,16.534777121794427,0.9172265426430496,0.9578788608986976,17222
Points_next_2weeks,LightGBM,10.343898713947706,15.632522205105262,0.9260134948190689,0.961587729872263,17222
Points_next_2weeks,CatBoost,10.422028600501772,15.614993899954927,0.9261793197522034,0.9616967101804781,17222
Points_next_2weeks,MLPRegressor,10.293006431312971,15.582328486779007,0.9264878515158562,0.9618275791692789,17222
Points_next_2weeks,TCN,10.815496880228778,15.725643068928902,0.9251294138422109,0.9617841381905449,17222
Points_next_4weeks,Ridge,12.351276198032396,18.362064518366754,0.8968996858319385,0.9476679918322105,16426
Points_next_4weeks,LightGBM,11.44394042404829,17.228341751489257,0.9092380272678656,0.9532395653863697,16426
Points_next_4weeks,CatBoost,11.568556520787691,17.27485937659132,0.9087472393139749,0.9530133194711414,16426
Points_next_4weeks,MLPRegressor,11.396717386299827,17.428880326232427,0.9071127840257407,0.9520790142601087,16426
Points_next_4weeks,TCN,11.382777490289785,17.24150111971516,0.9090993225242727,0.9531182993064595,16426
