Target,Baseline,Compared_Model,Mean_Diff(Ridge-Other),Cohen_d,Better_Model,t_stat,p_t,w_stat,p_w,N,p_t_fdr,p_w_fdr,sig_t(0.05),sig_w(0.05)
Points_next_week,Ridge,LightGBM,0.28069911108663437,0.07589776441417731,LightGBM,10.083554299989059,7.579467846469019e-24,70853618.0,2.4964426272914003e-25,17651,0.03012310069957657,4.106135436935535e-06,True,True
Points_next_week,Ridge,CatBoost,0.24987217200008863,0.06768002673727863,CatBoost,8.991769782649637,2.6741445383547288e-19,72526201.0,2.214071159192926e-15,17651,1.6044867230128373e-18,4.2573811865484136e-12,True,True
Points_next_week,Ridge,MLPRegressor,0.21770918927292446,0.049482235432147616,MLPRegressor,6.574064621219602,5.033129963753134e-11,73072400.0,1.0643452966371034e-12,17651,2.0132519855012536e-10,7.451560055794706e-19,True,True
Points_next_week,Ridge,TCN,0.24970840009860654,0.05825666538648092,TCN,7.7398096412329105,1.0492176219890617e-14,71808076.0,2.4838533519315685e-19,17651,3.147652865967185e-14,1.3284426955157558e-14,True,True
Points_next_2weeks,Ridge,LightGBM,0.5884234204174755,0.10887378741034061,LightGBM,14.287792142178958,4.780266055126092e-46,63216271.0,4.530319004957201e-63,17222,1.1472638532302622e-45,1.0872765611897283e-62,True,True
Points_next_2weeks,Ridge,CatBoost,0.5102935338634113,0.09497637731551513,CatBoost,12.463998633452109,1.6696531177204922e-35,66277266.0,1.4884822366459167e-33,17222,3.339306235440984e-35,2.9769644732918334e-33,True,True
Points_next_2weeks,Ridge,MLPRegressor,0.6393157030522103,0.09859443333463234,MLPRegressor,12.93880559653748,4.09209708856552e-38,63643684.0,2.2347926216347735e-58,17222,7.015023580398033e-38,3.8310730656596116e-58,True,True
Points_next_2weeks,Ridge,TCN,0.11682525413640389,0.017716839312946958,TCN,2.325027203891766,0.020082067133051048,71093853.0,2.73742362462369e-06,17222,2.577520776425519e-70,8.761588536178569e-141,True,True
Points_next_4weeks,Ridge,LightGBM,0.907335773984105,0.13417432262206516,LightGBM,17.1963121810464,1.0636992319501108e-65,53762415.0,1.9302745156029234e-112,16426,1.4182656426001477e-65,3.9898195133458217e-75,True,True
Points_next_4weeks,Ridge,CatBoost,0.7827196772447055,0.11670662493249885,CatBoost,14.95758291687848,2.9771046064719466e-50,56305449.0,3.3248495944548517e-75,16426,3.572525527766336e-50,1.1371644091093697e-112,True,True
Points_next_4weeks,Ridge,MLPRegressor,0.9545588117325695,0.1325876452821374,MLPRegressor,16.99295733389845,3.274885968986637e-64,53745840.0,1.0424007083502555e-112,16426,3.5726028752581495e-64,2.5736993541372315e-112,True,True
Points_next_4weeks,Ridge,TCN,0.9684987077426114,0.13898440051653901,TCN,17.812790799846745,2.577520776425519e-70,52105551.0,8.761588536178568e-141,16426,9.095361415762823e-23,2.9957311527496806e-24,True,True
