Target,Baseline,Compared_Model,Mean_Diff(Ridge-Other),Cohen_d,Better_Model,t_stat,p_t,w_stat,p_w,N,p_t_fdr,p_w_fdr,sig_t(0.05),sig_w(0.05),p_t_fdr_fmt,p_w_fdr_fmt
Points_next_week,Ridge,LightGBM,2.806991e-01,7.589776e-02,LightGBM,1.008355e+01,7.579468e-24,7.085362e+07,2.496443e-25,17651,3.012310e-02,4.106135e-06,True,True,3.01e-02,4.11e-06
Points_next_week,Ridge,CatBoost,2.498722e-01,6.768003e-02,CatBoost,8.991770e+00,2.674145e-19,7.252620e+07,2.214071e-15,17651,1.604487e-18,4.257381e-12,True,True,1.60e-18,4.26e-12
Points_next_week,Ridge,MLPRegressor,2.177092e-01,4.948224e-02,MLPRegressor,6.574065e+00,5.033130e-11,7.307240e+07,1.064345e-12,17651,2.013252e-10,7.451560e-19,True,True,2.01e-10,7.45e-19
Points_next_week,Ridge,TCN,2.497084e-01,5.825667e-02,TCN,7.739810e+00,1.049218e-14,7.180808e+07,2.483853e-19,17651,3.147653e-14,1.328443e-14,True,True,3.15e-14,1.33e-14
Points_next_2weeks,Ridge,LightGBM,5.884234e-01,1.088738e-01,LightGBM,1.428779e+01,4.780266e-46,6.321627e+07,4.530319e-63,17222,1.147264e-45,1.087277e-62,True,True,1.15e-45,1.09e-62
Points_next_2weeks,Ridge,CatBoost,5.102935e-01,9.497638e-02,CatBoost,1.246400e+01,1.669653e-35,6.627727e+07,1.488482e-33,17222,3.339306e-35,2.976964e-33,True,True,3.34e-35,2.98e-33
Points_next_2weeks,Ridge,MLPRegressor,6.393157e-01,9.859443e-02,MLPRegressor,1.293881e+01,4.092097e-38,6.364368e+07,2.234793e-58,17222,7.015024e-38,3.831073e-58,True,True,7.02e-38,3.83e-58
Points_next_2weeks,Ridge,TCN,1.168253e-01,1.771684e-02,TCN,2.325027e+00,2.008207e-02,7.109385e+07,2.737424e-06,17222,2.577521e-70,8.761589e-141,True,True,2.58e-70,8.76e-141
Points_next_4weeks,Ridge,LightGBM,9.073358e-01,1.341743e-01,LightGBM,1.719631e+01,1.063699e-65,5.376242e+07,1.930275e-112,16426,1.418266e-65,3.989820e-75,True,True,1.42e-65,3.99e-75
Points_next_4weeks,Ridge,CatBoost,7.827197e-01,1.167066e-01,CatBoost,1.495758e+01,2.977105e-50,5.630545e+07,3.324850e-75,16426,3.572526e-50,1.137164e-112,True,True,3.57e-50,1.14e-112
Points_next_4weeks,Ridge,MLPRegressor,9.545588e-01,1.325876e-01,MLPRegressor,1.699296e+01,3.274886e-64,5.374584e+07,1.042401e-112,16426,3.572603e-64,2.573699e-112,True,True,3.57e-64,2.57e-112
Points_next_4weeks,Ridge,TCN,9.684987e-01,1.389844e-01,TCN,1.781279e+01,2.577521e-70,5.210555e+07,8.761589e-141,16426,9.095361e-23,2.995731e-24,True,True,9.10e-23,3.00e-24
