Target;Model;MAE_Points;RMSE_Points;R2_Points;Spearman_Points;MAE_Rank;RMSE_Rank;R2_Rank;Spearman_Rank;N
Points_next_week;Ridge;7.884814306676138;12.782891036705541;0.9506983486422079;0.9752584302949167;7.880460030593167;12.920644825858863;0.9496300326824845;0.9750368758403942;17651
Points_next_week;LightGBM;7.605066103770158;12.11219330685059;0.9557361812219436;0.9772629717182543;7.75355503937454;12.467231992236323;0.9531031822266008;0.9767833322582865;17651
Points_next_week;CatBoost;7.653796491948821;12.153952443322648;0.9554304388690058;0.9771019866699543;7.783015126621721;12.493878167801219;0.9529025031591155;0.9766823025402596;17651
Points_next_week;MLPRegressor;7.667105117403214;12.183650433932026;0.9552123627255931;0.9770897263503425;7.853492719959209;12.513927428877052;0.9527512246457216;0.9766083455987213;17651
Points_next_week;TCN;7.635105906577531;12.133609671223343;0.9555795113056846;0.9771396476850407;7.791286612656506;12.48740569998765;0.9529512883429829;0.9767067976657616;17651
Points_next_2weeks;Ridge;10.93232213436518;16.534777121794427;0.9172265426430496;0.9578788608986976;10.982696550923238;16.906768195706874;0.9134602569394854;0.9572934893778351;17222
Points_next_2weeks;LightGBM;10.325107069905968;15.625586070657015;0.9260791357299542;0.9616348865981584;10.639182441063756;16.27668387025136;0.9197904163149606;0.9605094324967349;17222
Points_next_2weeks;CatBoost;10.442486431406808;15.6044569596771;0.9262789139833453;0.9617515586729706;10.755429102310998;16.260783385118895;0.9199470512113612;0.9605899310142021;17222
Points_next_2weeks;MLPRegressor;10.293006431312971;15.582328486779007;0.9264878515158562;0.9618275791692789;10.629311345952852;16.254526003791785;0.9200086503894742;0.9606262385472765;17222
Points_next_2weeks;TCN;10.815496880228778;15.725643068928902;0.9251294138422109;0.9617841381905449;10.70723493206364;16.25203595332086;0.9200331564551962;0.960630328082865;17222
Points_next_4weeks;Ridge;12.351276198032396;18.362064518366754;0.8968996858319385;0.9476679918322105;12.648484110556435;19.039101817772742;0.889156588618271;0.9468064938153463;16426
Points_next_4weeks;LightGBM;11.462620980228717;17.227262414760673;0.9092493991878696;0.9532268160455445;12.191647388286862;18.185426266085717;0.8988737410424911;0.9518567951091146;16426
Points_next_4weeks;CatBoost;11.557994131847668;17.271439394472996;0.9087833671817356;0.9530577803682332;12.270303177888714;18.19766128972179;0.8987376212322955;0.9517875640745331;16426
Points_next_4weeks;MLPRegressor;11.396717386299827;17.428880326232427;0.9071127840257407;0.9520790142601087;12.224643857299403;18.369487906887358;0.8968163064934187;0.9508107482879246;16426
Points_next_4weeks;TCN;11.306662916799207;17.002000000000002;0.911607179010855;0.9544147731170692;12.23876780713503;18.003679426961675;0.9008849708091639;0.9528953967875554;16426
