Target;Best_Model;Compared_Model;N;Mean_Diff_Points(Best-Other);Cohen_d_Points;t_stat_Points;p_t_Points;w_stat_Points;p_w_Points;Mean_Diff_Rank(Best-Other);Cohen_d_Rank;t_stat_Rank;p_t_Rank;w_stat_Rank;p_w_Rank;p_t_Points_fdr;p_t_Rank_fdr;Sig_Level_Points;Sig_Level_Rank
Points_next_week;LightGBM;Ridge;17651;-0.279748202905979;-0.07548501756474395;-10.028717964551051;1.3184768214571386e-23;70761790.0;5.959192014797846e-26;-0.12690499121862783;-0.035585108468088884;-4.727733106219769;2.2879364444457123e-06;37830369.0;0.09864910560486875;3.27632906555059e-82;2.4684435378312723e-14;***;***
Points_next_week;LightGBM;CatBoost;17651;-0.048730388178661654;-0.03566236369989251;-4.737997009654382;2.1752180001208644e-06;73557991.0;1.5072565603383436e-10;-0.029460087247181462;-0.01785932733453331;-2.3727378313320444;0.01766744338164427;26205078.0;0.0031615144328487593;3.27632906555059e-82;2.4684435378312723e-14;***;***
Points_next_week;LightGBM;MLPRegressor;17651;-0.0620390136330546;-0.022132869184231817;-2.940508063134302;0.003280995763506075;75366860.0;0.00018943255646411555;-0.09993768058466942;-0.03438108152424588;-4.567769619012984;4.962759348739817e-06;38544641.0;1.8480079250862988e-10;3.27632906555059e-82;2.4684435378312723e-14;***;***
Points_next_week;LightGBM;TCN;17651;-0.030039802807372496;-0.011690365050987384;-1.5531476017534211;0.1204058056533486;76254677.0;0.01546562277667869;-0.03773157328196703;-0.013436831024979659;-1.785177947018042;0.07424962463665614;37518518.0;0.04083291523481362;1.383951186206084e-57;2.4684435378312723e-14;***;***
Points_next_2weeks;MLPRegressor;Ridge;17222;-0.6393157030522103;-0.09859443333463234;-12.93880559653748;4.09209708856552e-38;63643684.0;2.2347926216347735e-58;-0.3533852049703867;-0.0542428173105475;-7.118426917751191;1.1346862352089368e-12;50169020.0;8.294128323833189e-08;1.383951186206084e-57;2.4684435378312723e-14;***;***
Points_next_2weeks;MLPRegressor;LightGBM;17222;-0.03210063859299873;-0.007734529521823381;-1.0150225573475669;0.3101093350913992;73522088.0;0.33307686618500665;-0.009871095110904657;-0.002190153153171679;-0.28741953188525415;0.7737945659011745;48506702.0;0.8692343668332772;1.383951186206084e-57;2.4684435378312723e-14;***;***
Points_next_2weeks;MLPRegressor;CatBoost;17222;-0.1494800000938364;-0.03582693914226204;-4.701663014861896;2.600506499159647e-06;70964360.0;1.0183091190177252e-06;-0.12611775635814657;-0.02782727345301128;-3.6518459441637594;0.0002611335287094773;50103307.0;6.025815358719934e-06;1.383951186206084e-57;2.4684435378312723e-14;***;***
Points_next_2weeks;MLPRegressor;TCN;17222;-0.5224904489158065;-0.1225333268861163;-16.080369266847214;9.226341241373893e-58;61268963.0;8.373689880662379e-87;-0.07792358611078852;-0.01828409507243421;-2.3994696622262133;0.016429397598215024;49802474.5;0.012498029639646512;1.383951186206084e-57;2.4684435378312723e-14;***;***
Points_next_4weeks;TCN;Ridge;16426;-1.0446132812331914;-0.150823643280201;-19.330155006145674;2.4572467991629426e-82;53056234.0;3.975367518336231e-124;-0.4097163034214051;-0.05982585318438752;-7.667518104443864;1.851332653373454e-14;49979964.5;9.282199961883533e-08;1.383951186206084e-57;2.4684435378312723e-14;***;***
Points_next_4weeks;TCN;LightGBM;16426;-0.15595806342951213;-0.0359455171337871;-4.60691972996108;4.117480478482685e-06;62013424.0;3.3159681943645784e-19;0.04712041884816754;0.010012559063138754;1.2832491941538178;0.19942289130791718;47873651.5;0.4848805908207875;1.383951186206084e-57;2.4684435378312723e-14;***;***
Points_next_4weeks;TCN;CatBoost;16426;-0.25133121504846107;-0.057647317219915596;-7.3883083136985865;1.5584907834388407e-13;60322060.0;7.887303163546518e-32;-0.031535370753683185;-0.0067958973949764565;-0.8709891048494596;0.3837728318075736;47989358.0;0.004736626366155837;9.821033012557247e-38;0.2393074695695006;***;ns
Points_next_4weeks;TCN;MLPRegressor;16426;-0.0900544695006219;-0.021975121681110658;-2.816418561018435;0.004862025570516435;64099294.0;3.284141267338067e-08;0.014123949835626447;0.0032129568979900693;0.41178527129748727;0.680502191224426;49123272.0;0.22016049888532163;4.940976574179222e-06;0.4186612710628076;***;ns
