Feature;Importance_Mean;Importance_STD
Points (Total);22.834477008095046;0.11303222070919824
Rank;22.681831900960525;0.08337049535534884
Points_rolling_mean_4w;4.65291449698283;0.04189925588617263
Rank_rolling_mean_4w;3.476528517691122;0.02878100077495194
Rank_last_week;1.3652403956701975;0.02444630599987612
Points_last_week;0.9927301226708141;0.015887738821657168
Weeks_on_chart;0.21713605606905437;0.008963757136065382
Points_change;0.14415894264330528;0.005375581886981702
Rank_change;0.1369263541193532;0.006674842066170837
Danceability;0.017826889263908276;0.0013497395199951368
Valence;0.016888381926599205;0.0023512542733569526
Artist_Hotness;0.016070918870685347;0.0025037447900873207
Energy;0.010016886743001763;0.0023488896359025943
Loudness_Corrected;0.009583262806976921;0.0027430554111172053
Acousticness;0.007992999500271391;0.002728945734927862
Artist_Count;0.0013719482522994042;0.0008630225938406642
Instrumentalness;0.001008807296096048;0.0006864812776629123
Nationality_Count;-7.093280667618274e-05;0.0015307395562604764
Speechiness;-0.0019455522009615756;0.003171865953412483
