feature;importance
Points (Total);0.33543958079361214
Rank;0.28801299402924246
Points_rolling_mean_4w;0.1264451693253803
Rank_rolling_mean_4w;0.07997661523798705
Points_last_week;0.015620005052028662
Rank_last_week;0.015501548524446018
Weeks_on_chart;0.0023167753967854644
Points_change;0.0015606842836817347
Rank_change;0.0012733404607820243
Valence;0.0011866120166736493
Artist_Hotness;0.0008087781479429346
Danceability;0.0007087666512365809
Energy;0.0005009003721237581
Acousticness;0.0004383672785631898
Artist_Count;0.00040971888103431554
Nationality_Count;0.00029012915331138033
Loudness_Corrected;0.00023302800573710147
Instrumentalness;0.00011463561562433667
Speechiness;0.00010039891381079525
